Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R2_val_2	HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53502094.0	0.0	20-101	51.0	38.64782834522617	97.58918807925536	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1	HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45049673.0	0.0	101.0	51.0	40.32315061351287	101.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1_val_1	HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43410907.0	0.0	20-101	51.0	40.323399225571	97.58333600355321	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R2	HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45049673.0	0.0	101.0	51.0	41.08504378716041	101.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R2_val_2	HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43410907.0	0.0	20-101	51.0	40.61864163896979	97.3328970528075	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1	HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53650335.0	0.0	101.0	50.0	44.69877036872303	101.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1_val_1	HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51990896.0	0.0	20-101	50.0	44.87442745338571	97.70544885396859	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R2	HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53650335.0	0.0	101.0	50.0	45.26270262936447	101.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R2_val_2	HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51990896.0	0.0	20-101	50.0	45.08990978054701	97.52704473490897	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R1	HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64341577.0	0.0	101.0	50.0	44.05206956149292	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R1_val_1	HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61918610.0	0.0	20-101	49.0	44.360963685129946	97.33328945853275	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	fail
